path,label
data\raw\cats\7832.jpg,cats
data\raw\dogs\1775.jpg,dogs
data\raw\cats\7465.jpg,cats
data\raw\dogs\6676.jpg,dogs
data\raw\cats\1583.jpg,cats
data\raw\dogs\6665.jpg,dogs
data\raw\cats\6041.jpg,cats
data\raw\cats\8714.jpg,cats
data\raw\cats\2993.jpg,cats
data\raw\cats\11898.jpg,cats
data\raw\dogs\4728.jpg,dogs
data\raw\dogs\10568.jpg,dogs
data\raw\dogs\4571.jpg,dogs
data\raw\cats\3697.jpg,cats
data\raw\dogs\7128.jpg,dogs
data\raw\dogs\5419.jpg,dogs
data\raw\dogs\4880.jpg,dogs
data\raw\dogs\261.jpg,dogs
data\raw\dogs\10457.jpg,dogs
data\raw\dogs\685.jpg,dogs
data\raw\cats\5888.jpg,cats
data\raw\dogs\7889.jpg,dogs
data\raw\cats\12004.jpg,cats
data\raw\cats\8285.jpg,cats
data\raw\cats\12325.jpg,cats
data\raw\dogs\5308.jpg,dogs
data\raw\cats\4108.jpg,cats
data\raw\cats\2207.jpg,cats
data\raw\cats\11331.jpg,cats
data\raw\cats\11497.jpg,cats
data\raw\cats\8647.jpg,cats
data\raw\dogs\7718.jpg,dogs
data\raw\cats\6342.jpg,cats
data\raw\cats\7985.jpg,cats
data\raw\dogs\10981.jpg,dogs
data\raw\dogs\7672.jpg,dogs
data\raw\cats\3654.jpg,cats
data\raw\cats\10203.jpg,cats
data\raw\dogs\5206.jpg,dogs
data\raw\cats\71.jpg,cats
data\raw\dogs\3764.jpg,dogs
data\raw\dogs\5365.jpg,dogs
data\raw\cats\1322.jpg,cats
data\raw\dogs\7987.jpg,dogs
data\raw\cats\2199.jpg,cats
data\raw\cats\7429.jpg,cats
data\raw\dogs\12264.jpg,dogs
data\raw\cats\4906.jpg,cats
data\raw\cats\8958.jpg,cats
data\raw\dogs\6625.jpg,dogs
data\raw\dogs\6612.jpg,dogs
data\raw\cats\401.jpg,cats
data\raw\dogs\9076.jpg,dogs
data\raw\cats\10377.jpg,cats
data\raw\dogs\1938.jpg,dogs
data\raw\cats\4224.jpg,cats
data\raw\dogs\6433.jpg,dogs
data\raw\cats\1675.jpg,cats
data\raw\cats\12335.jpg,cats
data\raw\dogs\425.jpg,dogs
data\raw\cats\8396.jpg,cats
data\raw\dogs\5713.jpg,dogs
data\raw\cats\6394.jpg,cats
data\raw\cats\2238.jpg,cats
data\raw\cats\10490.jpg,cats
data\raw\cats\1579.jpg,cats
data\raw\cats\1188.jpg,cats
data\raw\dogs\11278.jpg,dogs
data\raw\cats\4.jpg,cats
data\raw\dogs\7034.jpg,dogs
data\raw\dogs\7070.jpg,dogs
data\raw\cats\10441.jpg,cats
data\raw\cats\6271.jpg,cats
data\raw\dogs\4342.jpg,dogs
data\raw\dogs\8236.jpg,dogs
data\raw\cats\5033.jpg,cats
data\raw\dogs\8068.jpg,dogs
data\raw\cats\10041.jpg,cats
data\raw\dogs\8662.jpg,dogs
data\raw\dogs\7250.jpg,dogs
data\raw\cats\4643.jpg,cats
data\raw\dogs\2550.jpg,dogs
data\raw\dogs\8493.jpg,dogs
data\raw\dogs\2502.jpg,dogs
data\raw\dogs\63.jpg,dogs
data\raw\dogs\4693.jpg,dogs
data\raw\cats\7883.jpg,cats
data\raw\dogs\11617.jpg,dogs
data\raw\cats\5605.jpg,cats
data\raw\dogs\10228.jpg,dogs
data\raw\dogs\1971.jpg,dogs
data\raw\dogs\7132.jpg,dogs
data\raw\dogs\10311.jpg,dogs
data\raw\cats\4373.jpg,cats
data\raw\dogs\8307.jpg,dogs
data\raw\dogs\5554.jpg,dogs
data\raw\dogs\5006.jpg,dogs
data\raw\cats\5836.jpg,cats
data\raw\cats\9397.jpg,cats
data\raw\dogs\8515.jpg,dogs
data\raw\cats\903.jpg,cats
data\raw\cats\5590.jpg,cats
data\raw\cats\1860.jpg,cats
data\raw\cats\3627.jpg,cats
data\raw\dogs\4639.jpg,dogs
data\raw\dogs\7605.jpg,dogs
data\raw\cats\2634.jpg,cats
data\raw\dogs\11054.jpg,dogs
data\raw\cats\2862.jpg,cats
data\raw\cats\10048.jpg,cats
data\raw\cats\8162.jpg,cats
data\raw\cats\11491.jpg,cats
data\raw\cats\2892.jpg,cats
data\raw\dogs\6463.jpg,dogs
data\raw\cats\1430.jpg,cats
data\raw\cats\3616.jpg,cats
data\raw\dogs\4432.jpg,dogs
data\raw\dogs\568.jpg,dogs
data\raw\cats\5419.jpg,cats
data\raw\dogs\487.jpg,dogs
data\raw\cats\12192.jpg,cats
data\raw\dogs\756.jpg,dogs
data\raw\cats\9408.jpg,cats
data\raw\cats\632.jpg,cats
data\raw\cats\919.jpg,cats
data\raw\dogs\12133.jpg,dogs
data\raw\cats\10914.jpg,cats
data\raw\dogs\10667.jpg,dogs
data\raw\dogs\1423.jpg,dogs
data\raw\cats\294.jpg,cats
data\raw\dogs\2540.jpg,dogs
data\raw\cats\11.jpg,cats
data\raw\dogs\188.jpg,dogs
data\raw\cats\5604.jpg,cats
data\raw\dogs\7444.jpg,dogs
data\raw\cats\2037.jpg,cats
data\raw\cats\1292.jpg,cats
data\raw\dogs\2776.jpg,dogs
data\raw\cats\6197.jpg,cats
data\raw\cats\11027.jpg,cats
data\raw\cats\4621.jpg,cats
data\raw\dogs\4097.jpg,dogs
data\raw\dogs\8565.jpg,dogs
data\raw\dogs\2575.jpg,dogs
data\raw\dogs\6282.jpg,dogs
data\raw\cats\5025.jpg,cats
data\raw\cats\9450.jpg,cats
data\raw\cats\1378.jpg,cats
data\raw\dogs\4868.jpg,dogs
data\raw\cats\2555.jpg,cats
data\raw\cats\4322.jpg,cats
data\raw\cats\6444.jpg,cats
data\raw\cats\5204.jpg,cats
data\raw\dogs\2488.jpg,dogs
data\raw\cats\5644.jpg,cats
data\raw\dogs\6695.jpg,dogs
data\raw\cats\8836.jpg,cats
data\raw\cats\8437.jpg,cats
data\raw\dogs\6582.jpg,dogs
data\raw\dogs\4941.jpg,dogs
data\raw\dogs\3470.jpg,dogs
data\raw\cats\8133.jpg,cats
data\raw\dogs\313.jpg,dogs
data\raw\dogs\2134.jpg,dogs
data\raw\cats\2630.jpg,cats
data\raw\cats\7867.jpg,cats
data\raw\dogs\6226.jpg,dogs
data\raw\cats\4100.jpg,cats
data\raw\cats\6543.jpg,cats
data\raw\dogs\5740.jpg,dogs
data\raw\cats\3270.jpg,cats
data\raw\cats\1529.jpg,cats
data\raw\dogs\4338.jpg,dogs
data\raw\dogs\759.jpg,dogs
data\raw\cats\6694.jpg,cats
data\raw\dogs\4787.jpg,dogs
data\raw\dogs\426.jpg,dogs
data\raw\dogs\3791.jpg,dogs
data\raw\dogs\12285.jpg,dogs
data\raw\cats\3563.jpg,cats
data\raw\cats\6296.jpg,cats
data\raw\cats\7546.jpg,cats
data\raw\dogs\9432.jpg,dogs
data\raw\cats\6603.jpg,cats
data\raw\cats\5036.jpg,cats
data\raw\cats\8706.jpg,cats
data\raw\dogs\10811.jpg,dogs
data\raw\dogs\5909.jpg,dogs
data\raw\cats\9682.jpg,cats
data\raw\dogs\466.jpg,dogs
data\raw\cats\10486.jpg,cats
data\raw\cats\5766.jpg,cats
data\raw\dogs\12350.jpg,dogs
data\raw\dogs\10196.jpg,dogs
data\raw\dogs\7639.jpg,dogs
data\raw\cats\7721.jpg,cats
data\raw\cats\9826.jpg,cats
data\raw\cats\7089.jpg,cats
data\raw\cats\8512.jpg,cats
data\raw\cats\8525.jpg,cats
data\raw\dogs\10988.jpg,dogs
data\raw\cats\11126.jpg,cats
data\raw\dogs\12373.jpg,dogs
data\raw\dogs\1983.jpg,dogs
data\raw\cats\7115.jpg,cats
data\raw\dogs\11554.jpg,dogs
data\raw\dogs\3775.jpg,dogs
data\raw\cats\5804.jpg,cats
data\raw\cats\7450.jpg,cats
data\raw\cats\11739.jpg,cats
data\raw\cats\5303.jpg,cats
data\raw\cats\9718.jpg,cats
data\raw\cats\5118.jpg,cats
data\raw\cats\11335.jpg,cats
data\raw\cats\5478.jpg,cats
data\raw\cats\11345.jpg,cats
data\raw\cats\8347.jpg,cats
data\raw\dogs\8280.jpg,dogs
data\raw\cats\10620.jpg,cats
data\raw\cats\3248.jpg,cats
data\raw\dogs\12031.jpg,dogs
data\raw\cats\4600.jpg,cats
data\raw\dogs\5057.jpg,dogs
data\raw\dogs\12022.jpg,dogs
data\raw\cats\10241.jpg,cats
data\raw\cats\7284.jpg,cats
data\raw\cats\9264.jpg,cats
data\raw\cats\340.jpg,cats
data\raw\dogs\12198.jpg,dogs
data\raw\dogs\1539.jpg,dogs
data\raw\cats\8473.jpg,cats
data\raw\dogs\8787.jpg,dogs
data\raw\cats\732.jpg,cats
data\raw\dogs\9887.jpg,dogs
data\raw\dogs\12043.jpg,dogs
data\raw\dogs\3052.jpg,dogs
data\raw\dogs\8062.jpg,dogs
data\raw\dogs\3603.jpg,dogs
data\raw\cats\11782.jpg,cats
data\raw\cats\7457.jpg,cats
data\raw\cats\5236.jpg,cats
data\raw\dogs\10852.jpg,dogs
data\raw\dogs\11473.jpg,dogs
data\raw\dogs\576.jpg,dogs
data\raw\dogs\1135.jpg,dogs
data\raw\cats\3212.jpg,cats
data\raw\cats\10900.jpg,cats
data\raw\dogs\4592.jpg,dogs
data\raw\dogs\9424.jpg,dogs
data\raw\dogs\4973.jpg,dogs
data\raw\cats\2850.jpg,cats
data\raw\dogs\9194.jpg,dogs
data\raw\cats\126.jpg,cats
data\raw\cats\2824.jpg,cats
data\raw\cats\284.jpg,cats
data\raw\cats\3220.jpg,cats
data\raw\cats\6844.jpg,cats
data\raw\cats\5569.jpg,cats
data\raw\dogs\9384.jpg,dogs
data\raw\cats\4006.jpg,cats
data\raw\dogs\4980.jpg,dogs
data\raw\cats\3628.jpg,cats
data\raw\dogs\10477.jpg,dogs
data\raw\dogs\9136.jpg,dogs
data\raw\dogs\4502.jpg,dogs
data\raw\cats\5310.jpg,cats
data\raw\dogs\436.jpg,dogs
data\raw\cats\11213.jpg,cats
data\raw\dogs\9089.jpg,dogs
data\raw\cats\124.jpg,cats
data\raw\dogs\11083.jpg,dogs
data\raw\dogs\8075.jpg,dogs
data\raw\cats\2556.jpg,cats
data\raw\cats\1365.jpg,cats
data\raw\dogs\3542.jpg,dogs
data\raw\dogs\8741.jpg,dogs
data\raw\dogs\6939.jpg,dogs
data\raw\dogs\12465.jpg,dogs
data\raw\dogs\8645.jpg,dogs
data\raw\dogs\4872.jpg,dogs
data\raw\dogs\8560.jpg,dogs
data\raw\cats\4804.jpg,cats
data\raw\cats\10095.jpg,cats
data\raw\cats\6297.jpg,cats
data\raw\cats\9636.jpg,cats
data\raw\dogs\1189.jpg,dogs
data\raw\dogs\10238.jpg,dogs
data\raw\cats\2105.jpg,cats
data\raw\cats\5296.jpg,cats
data\raw\cats\814.jpg,cats
data\raw\dogs\479.jpg,dogs
data\raw\dogs\6803.jpg,dogs
data\raw\dogs\9504.jpg,dogs
data\raw\dogs\6144.jpg,dogs
data\raw\cats\9162.jpg,cats
data\raw\cats\3191.jpg,cats
data\raw\dogs\7075.jpg,dogs
data\raw\dogs\29.jpg,dogs
data\raw\cats\9013.jpg,cats
data\raw\cats\1181.jpg,cats
data\raw\cats\7157.jpg,cats
data\raw\dogs\2186.jpg,dogs
data\raw\cats\1781.jpg,cats
data\raw\dogs\12165.jpg,dogs
data\raw\dogs\2479.jpg,dogs
data\raw\dogs\1137.jpg,dogs
data\raw\cats\1107.jpg,cats
data\raw\dogs\4268.jpg,dogs
data\raw\dogs\6862.jpg,dogs
data\raw\dogs\10761.jpg,dogs
data\raw\cats\5731.jpg,cats
data\raw\dogs\11070.jpg,dogs
data\raw\dogs\11218.jpg,dogs
data\raw\cats\11811.jpg,cats
data\raw\cats\11903.jpg,cats
data\raw\cats\9901.jpg,cats
data\raw\dogs\6703.jpg,dogs
data\raw\cats\6150.jpg,cats
data\raw\cats\6368.jpg,cats
data\raw\cats\8170.jpg,cats
data\raw\cats\2016.jpg,cats
data\raw\dogs\6413.jpg,dogs
data\raw\dogs\1991.jpg,dogs
data\raw\dogs\894.jpg,dogs
data\raw\dogs\8550.jpg,dogs
data\raw\dogs\7844.jpg,dogs
data\raw\cats\12147.jpg,cats
data\raw\cats\6408.jpg,cats
data\raw\dogs\8581.jpg,dogs
data\raw\cats\7397.jpg,cats
data\raw\cats\3518.jpg,cats
data\raw\cats\5466.jpg,cats
data\raw\cats\6030.jpg,cats
data\raw\dogs\9549.jpg,dogs
data\raw\cats\4434.jpg,cats
data\raw\cats\1976.jpg,cats
data\raw\cats\10133.jpg,cats
data\raw\cats\2625.jpg,cats
data\raw\dogs\10166.jpg,dogs
data\raw\cats\8613.jpg,cats
data\raw\cats\6700.jpg,cats
data\raw\dogs\3506.jpg,dogs
data\raw\dogs\10390.jpg,dogs
data\raw\cats\6956.jpg,cats
data\raw\dogs\1222.jpg,dogs
data\raw\dogs\6056.jpg,dogs
data\raw\cats\2548.jpg,cats
data\raw\cats\1195.jpg,cats
data\raw\cats\1294.jpg,cats
data\raw\dogs\12199.jpg,dogs
data\raw\dogs\10328.jpg,dogs
data\raw\cats\10493.jpg,cats
data\raw\dogs\2431.jpg,dogs
data\raw\cats\6095.jpg,cats
data\raw\dogs\8598.jpg,dogs
data\raw\cats\6770.jpg,cats
data\raw\cats\7955.jpg,cats
data\raw\dogs\8575.jpg,dogs
data\raw\cats\11687.jpg,cats
data\raw\cats\4172.jpg,cats
data\raw\dogs\1503.jpg,dogs
data\raw\cats\11866.jpg,cats
data\raw\dogs\7939.jpg,dogs
data\raw\dogs\7835.jpg,dogs
data\raw\dogs\4243.jpg,dogs
data\raw\cats\4869.jpg,cats
data\raw\cats\12495.jpg,cats
data\raw\cats\6900.jpg,cats
data\raw\dogs\2377.jpg,dogs
data\raw\dogs\12382.jpg,dogs
data\raw\dogs\9312.jpg,dogs
data\raw\cats\2289.jpg,cats
data\raw\cats\1448.jpg,cats
data\raw\dogs\2031.jpg,dogs
data\raw\dogs\5744.jpg,dogs
data\raw\cats\1279.jpg,cats
data\raw\dogs\5051.jpg,dogs
data\raw\cats\7496.jpg,cats
data\raw\cats\5895.jpg,cats
data\raw\cats\38.jpg,cats
data\raw\dogs\3104.jpg,dogs
data\raw\cats\12064.jpg,cats
data\raw\cats\7139.jpg,cats
data\raw\dogs\11251.jpg,dogs
data\raw\cats\9778.jpg,cats
data\raw\dogs\9892.jpg,dogs
data\raw\dogs\10585.jpg,dogs
data\raw\dogs\8864.jpg,dogs
data\raw\dogs\463.jpg,dogs
data\raw\cats\3889.jpg,cats
data\raw\cats\661.jpg,cats
data\raw\dogs\953.jpg,dogs
data\raw\dogs\884.jpg,dogs
data\raw\dogs\10214.jpg,dogs
data\raw\dogs\11890.jpg,dogs
data\raw\dogs\3376.jpg,dogs
data\raw\cats\7120.jpg,cats
data\raw\cats\6704.jpg,cats
data\raw\dogs\3642.jpg,dogs
data\raw\cats\4919.jpg,cats
data\raw\dogs\6131.jpg,dogs
data\raw\cats\3386.jpg,cats
data\raw\cats\10780.jpg,cats
data\raw\dogs\3730.jpg,dogs
data\raw\dogs\5499.jpg,dogs
data\raw\dogs\9505.jpg,dogs
data\raw\cats\5736.jpg,cats
data\raw\cats\8147.jpg,cats
data\raw\cats\385.jpg,cats
data\raw\dogs\6318.jpg,dogs
data\raw\cats\3441.jpg,cats
data\raw\dogs\10154.jpg,dogs
data\raw\dogs\11262.jpg,dogs
data\raw\dogs\11953.jpg,dogs
data\raw\dogs\2351.jpg,dogs
data\raw\dogs\641.jpg,dogs
data\raw\dogs\7631.jpg,dogs
data\raw\dogs\10626.jpg,dogs
data\raw\cats\4149.jpg,cats
data\raw\dogs\8259.jpg,dogs
data\raw\cats\7921.jpg,cats
data\raw\cats\5117.jpg,cats
data\raw\dogs\237.jpg,dogs
data\raw\dogs\10416.jpg,dogs
data\raw\dogs\11462.jpg,dogs
data\raw\cats\5375.jpg,cats
data\raw\dogs\834.jpg,dogs
data\raw\dogs\9608.jpg,dogs
data\raw\dogs\4094.jpg,dogs
data\raw\dogs\9110.jpg,dogs
data\raw\dogs\1474.jpg,dogs
data\raw\cats\8815.jpg,cats
data\raw\dogs\6102.jpg,dogs
data\raw\dogs\12475.jpg,dogs
data\raw\dogs\1248.jpg,dogs
data\raw\cats\2642.jpg,cats
data\raw\dogs\2363.jpg,dogs
data\raw\dogs\10005.jpg,dogs
data\raw\dogs\10252.jpg,dogs
data\raw\cats\11052.jpg,cats
data\raw\cats\891.jpg,cats
data\raw\cats\6877.jpg,cats
data\raw\cats\5977.jpg,cats
data\raw\cats\6503.jpg,cats
data\raw\cats\11365.jpg,cats
data\raw\cats\11747.jpg,cats
data\raw\cats\5462.jpg,cats
data\raw\cats\6170.jpg,cats
data\raw\dogs\4567.jpg,dogs
data\raw\dogs\10516.jpg,dogs
data\raw\dogs\10076.jpg,dogs
data\raw\cats\9175.jpg,cats
data\raw\cats\7974.jpg,cats
data\raw\cats\2606.jpg,cats
data\raw\dogs\2611.jpg,dogs
data\raw\cats\11098.jpg,cats
data\raw\cats\3013.jpg,cats
data\raw\dogs\5356.jpg,dogs
data\raw\cats\2957.jpg,cats
data\raw\cats\927.jpg,cats
data\raw\dogs\11286.jpg,dogs
data\raw\cats\11891.jpg,cats
data\raw\cats\1162.jpg,cats
data\raw\cats\7605.jpg,cats
data\raw\dogs\4488.jpg,dogs
data\raw\dogs\8265.jpg,dogs
data\raw\cats\6788.jpg,cats
data\raw\cats\6044.jpg,cats
data\raw\dogs\5148.jpg,dogs
data\raw\cats\4937.jpg,cats
data\raw\cats\6841.jpg,cats
data\raw\cats\9980.jpg,cats
data\raw\dogs\351.jpg,dogs
data\raw\dogs\3261.jpg,dogs
data\raw\cats\3995.jpg,cats
data\raw\dogs\3612.jpg,dogs
data\raw\cats\5094.jpg,cats
data\raw\cats\1257.jpg,cats
data\raw\dogs\10151.jpg,dogs
data\raw\dogs\1824.jpg,dogs
data\raw\dogs\12233.jpg,dogs
data\raw\dogs\1506.jpg,dogs
data\raw\cats\9839.jpg,cats
data\raw\dogs\8478.jpg,dogs
data\raw\dogs\4918.jpg,dogs
data\raw\dogs\3144.jpg,dogs
data\raw\dogs\1393.jpg,dogs
data\raw\dogs\6023.jpg,dogs
data\raw\cats\11207.jpg,cats
data\raw\dogs\298.jpg,dogs
data\raw\dogs\746.jpg,dogs
data\raw\dogs\2771.jpg,dogs
data\raw\cats\6898.jpg,cats
data\raw\cats\5570.jpg,cats
data\raw\cats\4109.jpg,cats
data\raw\dogs\5139.jpg,dogs
data\raw\cats\6573.jpg,cats
data\raw\cats\4192.jpg,cats
data\raw\cats\10105.jpg,cats
data\raw\cats\6768.jpg,cats
data\raw\cats\3949.jpg,cats
data\raw\dogs\11874.jpg,dogs
data\raw\cats\5877.jpg,cats
data\raw\cats\11512.jpg,cats
data\raw\dogs\10066.jpg,dogs
data\raw\cats\7328.jpg,cats
data\raw\dogs\6184.jpg,dogs
data\raw\cats\8650.jpg,cats
data\raw\cats\10890.jpg,cats
data\raw\cats\7834.jpg,cats
data\raw\cats\10610.jpg,cats
data\raw\dogs\3076.jpg,dogs
data\raw\dogs\8453.jpg,dogs
data\raw\cats\7659.jpg,cats
data\raw\dogs\5707.jpg,dogs
data\raw\cats\1358.jpg,cats
data\raw\dogs\7263.jpg,dogs
data\raw\dogs\3224.jpg,dogs
data\raw\cats\3149.jpg,cats
data\raw\dogs\7312.jpg,dogs
data\raw\cats\6273.jpg,cats
data\raw\cats\8448.jpg,cats
data\raw\dogs\5864.jpg,dogs
data\raw\cats\557.jpg,cats
data\raw\cats\11819.jpg,cats
data\raw\dogs\3473.jpg,dogs
data\raw\dogs\1759.jpg,dogs
data\raw\dogs\4721.jpg,dogs
data\raw\dogs\7186.jpg,dogs
data\raw\dogs\168.jpg,dogs
data\raw\dogs\8299.jpg,dogs
data\raw\cats\7842.jpg,cats
data\raw\dogs\1656.jpg,dogs
data\raw\dogs\5246.jpg,dogs
data\raw\cats\9471.jpg,cats
data\raw\cats\10018.jpg,cats
data\raw\dogs\5627.jpg,dogs
data\raw\dogs\6018.jpg,dogs
data\raw\dogs\7847.jpg,dogs
data\raw\dogs\6292.jpg,dogs
data\raw\cats\2484.jpg,cats
data\raw\cats\11523.jpg,cats
data\raw\dogs\8688.jpg,dogs
data\raw\dogs\11932.jpg,dogs
data\raw\cats\7081.jpg,cats
data\raw\dogs\8832.jpg,dogs
data\raw\dogs\1440.jpg,dogs
data\raw\cats\7108.jpg,cats
data\raw\cats\11914.jpg,cats
data\raw\cats\541.jpg,cats
data\raw\cats\8645.jpg,cats
data\raw\dogs\4496.jpg,dogs
data\raw\dogs\2524.jpg,dogs
data\raw\dogs\3457.jpg,dogs
data\raw\dogs\10792.jpg,dogs
data\raw\dogs\9090.jpg,dogs
data\raw\dogs\9274.jpg,dogs
data\raw\cats\5990.jpg,cats
data\raw\dogs\10401.jpg,dogs
data\raw\cats\7684.jpg,cats
data\raw\dogs\5612.jpg,dogs
data\raw\cats\2580.jpg,cats
data\raw\dogs\216.jpg,dogs
data\raw\cats\2440.jpg,cats
data\raw\dogs\5067.jpg,dogs
data\raw\dogs\287.jpg,dogs
